dataset,model,scorer,base_config_id,config_id,feature_label,feature_atom,feature_family,n_queries,mean_delta,median_delta,useful_rate,harmed_rate,stable_rate
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,35,ctx.stats,input_context_column_statistics,input_context,4337,0.00023057412958266084,0.0,0.0989163015909615,0.09868572746137884,0.8023979709476596
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,36,ctx.type,input_context_type_annotation,input_context,4337,-0.004150334332487895,0.0,0.05879640304357851,0.0629467373760664,0.878256859580355
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,32,format.json,prompt_format_json,format,4330,-0.0859122401847575,0.0,0.07159353348729793,0.15750577367205543,0.7709006928406467
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,44,reason.critique_revise,reasoning_critique_then_revise,reasoning,4337,0.0029974636845745907,0.0,0.08000922296518331,0.07701175928060872,0.842979017754208
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,102,reason.decompose,reasoning_decompose_subtasks,reasoning,4337,0.01106755821996772,0.0,0.09130735531473369,0.08023979709476596,0.8284528475905003
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,39,reason.enumerate,reasoning_candidate_enumeration,reasoning,4337,0.013603873645376989,0.0,0.10053032049804012,0.08692644685266313,0.8125432326492967
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,38,reason.evidence_localize,reasoning_evidence_localization,reasoning,4337,0.005764353239566521,0.0,0.08531242794558451,0.07954807470601799,0.8351394973483975
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,40,reason.evidence_table,reasoning_intermediate_evidence_table,reasoning,4337,-0.011528706479133042,0.0,0.09499654138805626,0.1065252478671893,0.7984782107447544
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,37,reason.extract_compute,reasoning_extract_then_compute,reasoning,4337,0.023057412958266084,0.0,0.10744754438551994,0.08439013142725386,0.8081623241872262
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,43,reason.plan_answer,reasoning_plan_then_answer,reasoning,4337,-0.06894166474521558,0.0,0.07839520405810468,0.14733686880332028,0.7742679271385751
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,41,reason.symbolic_op,reasoning_symbolic_operation,reasoning,4337,-0.03735300899239105,0.0,0.08369840903850588,0.12105141803089693,0.7952501729305972
